pageid;pagetitle;totalrank;singleranks0;singleranks1;singleranks2
5137507;Wikipedia:Administrators' noticeboard/Incidents;7;0;0;2
4559844;Old Toronto;4;0;0;1
15464513;Paranapiacaba;8;0;0;1
11695296;Stimpmeter;5;0;0;1
26566224;Michael Schelle;6;0;0;1
37263518;User:Tigerboy1966/sandbox9;11;0;0;1
38338148;User:Gildir/Emil Zsigmondy;101;0;0;1
13784401;User:Cyde/List of candidates for speedy deletion/Subpage;3;0;0;1
1506128;Mannes College The New School for Music;5;0;0;2
36377630;She Has a Name;2;0;0;1
729142;Beechcraft King Air;8;0;2;2
34567652;2012–13 FA Cup;15;0;10;2
38266459;P?nar Selek;41;0;0;1
38337326;User:Kanuk/sandbox;1;0;0;1
1918514;Talk:Socialism;2;0;0;1
37466464;2013 Africa Cup of Nations Group D;8;0;0;2
38337290;User:Caponer/John Collins Covell;1;0;0;1
10857911;Dan Kwong;5;0;0;1
15184769;Writers Guild of America Award for Best Original Screenplay;3;0;0;1
34883725;Gravity Falls;8;0;4;2
38337490;User:Anthony Branker;1;0;0;1
1311870;Vija Celmins;8;0;2;2
38337615;Manoj Khanderia;1;0;0;1
35816233;User:Nado158/sandbox;1;0;0;1
35516807;The Voice (Australia season 1);3;0;0;1
38337613;2013 Scottish League Cup Final;1;0;0;1
33498560;User:Wani/sandbox;1;0;0;1
38334891;Andrew Litten;1;0;0;1
12421322;Herman Bernstein;16;0;0;1
37628689;2013 FIFA Beach Soccer World Cup qualification (AFC);24;0;0;1
155019;Hanging;4;0;0;1
9392458;Wikipedia talk:AutoWikiBrowser/Bugs;3;0;0;1
29025941;Mahbub Mirza Chishti Qalandari Hyderabadi;5;0;0;1
65651;Holocaust denial;100;0;19;3
49121;Phoenix, Arizona;2;0;0;2
11205812;Talk:Tournament (graph theory);1;0;0;1
1385966;List of international schools;3;0;0;1
22239227;St Paul's Church, Birmingham;5;0;0;1
35353660;User:Mizzou415/sandbox;19;0;0;1
13440053;List of programmes broadcast by Boomerang (UK & Ireland);16;0;0;1
35870043;Avicii discography;4;0;0;1
367843;Religion in China;20;0;15;2
8627029;Selway River;5;0;0;2
29039652;2013 World Men's Handball Championship;13;0;8;2
31530695;User:DeltaQuad/UAA/Time;3;0;0;1
27957384;Bad Girls Club (season 3);4;0;0;1
32194012;Diplomatic Mission Peace and Prosperity;16;0;0;1
38337857;Kevin Law;2;0;0;2
21845518;Seis días en la oscuridad;6;0;0;1
3252662;Wikipedia:Village pump (technical);24;0;0;1
6830738;Ma clique;4;0;0;1
11533;Talk:Freemasonry;3;0;0;1
22219814;List of sovereign states in Europe by minimum wage;3;0;0;1
35810114;2012–13 Manchester United F.C. season;15;0;10;2
37671327;User:Lele giannoni/sandbox;1;0;0;1
38337243;Ukrainian Defense Industry (company);1;0;0;1
27160351;User talk:Ryanspir;9;0;0;2
31821193;User:Mato/Sandbox2;2;0;0;2
38295304;User:Snagglepuss24;74;0;0;1
38277132;User:28bot/edit-tests-found/2013-January;4;0;0;1
37840129;2013 Snooker Shoot-Out;51;0;8;1
18942673;Philippe Coutinho;5;0;0;2
38337577;Wikipedia:Articles for deletion/Nicolas Slonimsky;1;0;0;1
27223546;Hansel and Gretel: Witch Hunters;13;0;0;1
32045584;User talk:Fearthefish;1;0;0;1
5800930;Mancherial;6;0;0;1
38337041;Intrasomatic model;1;0;0;1
246442;Music of Mali;6;0;0;1
34288385;User:Peter I. Vardy/sandbox-13;4;0;0;1
5137507;Wikipedia:Administrators' noticeboard/Incidents;7;0;0;2
26566224;Michael Schelle;6;0;0;1
4559844;Old Toronto;4;0;0;1
15464513;Paranapiacaba;8;0;0;1
11695296;Stimpmeter;5;0;0;1
37263518;User:Tigerboy1966/sandbox9;11;0;0;1
38338148;User:Gildir/Emil Zsigmondy;101;0;0;1
13784401;User:Cyde/List of candidates for speedy deletion/Subpage;3;0;0;1
1506128;Mannes College The New School for Music;5;0;0;2
729142;Beechcraft King Air;14;0;8;2
36377630;She Has a Name;2;0;0;1
15184769;Writers Guild of America Award for Best Original Screenplay;3;0;0;1
34567652;2012–13 FA Cup;45;0;40;2
1918514;Talk:Socialism;2;0;0;1
37466464;2013 Africa Cup of Nations Group D;261;0;252;3
38337490;User:Anthony Branker;1;0;0;1
33498560;User:Wani/sandbox;1;0;0;1
38266459;P?nar Selek;41;0;0;1
35816233;User:Nado158/sandbox;1;0;0;1
10857911;Dan Kwong;5;0;0;1
34883725;Gravity Falls;20;0;16;2
38337326;User:Kanuk/sandbox;1;0;0;1
38337615;Manoj Khanderia;1;0;0;1
38337290;User:Caponer/John Collins Covell;1;0;0;1
6841765;2013 Africa Cup of Nations;320;0;311;3
35516807;The Voice (Australia season 1);3;0;0;1
1311870;Vija Celmins;14;0;8;2
38337613;2013 Scottish League Cup Final;1;0;0;1
38334891;Andrew Litten;1;0;0;1
12421322;Herman Bernstein;16;0;0;1
37628689;2013 FIFA Beach Soccer World Cup qualification (AFC);24;0;0;1
155019;Hanging;4;0;0;1
8627029;Selway River;5;0;0;2
9392458;Wikipedia talk:AutoWikiBrowser/Bugs;3;0;0;1
29039652;2013 World Men's Handball Championship;80;0;74;3
22239227;St Paul's Church, Birmingham;5;0;0;1
65651;Holocaust denial;157;0;76;3
35353660;User:Mizzou415/sandbox;19;0;0;1
13440053;List of programmes broadcast by Boomerang (UK & Ireland);16;0;0;1
5800930;Mancherial;6;0;0;1
27160351;User talk:Ryanspir;9;0;0;2
18942673;Philippe Coutinho;6;0;0;3
1385966;List of international schools;3;0;0;1
35870043;Avicii discography;4;0;0;1
367843;Religion in China;65;0;60;2
31530695;User:DeltaQuad/UAA/Time;3;0;0;1
29025941;Mahbub Mirza Chishti Qalandari Hyderabadi;5;0;0;1
32194012;Diplomatic Mission Peace and Prosperity;16;0;0;1
38337857;Kevin Law;3;0;0;3
38337577;Wikipedia:Articles for deletion/Nicolas Slonimsky;1;0;0;1
21845518;Seis días en la oscuridad;6;0;0;1
11205812;Talk:Tournament (graph theory);1;0;0;1
3252662;Wikipedia:Village pump (technical);25;0;0;2
6830738;Ma clique;4;0;0;1
38337041;Intrasomatic model;1;0;0;1
35810114;2012–13 Manchester United F.C. season;45;0;40;2
37671327;User:Lele giannoni/sandbox;1;0;0;1
31821193;User:Mato/Sandbox2;2;0;0;2
38295304;User:Snagglepuss24;74;0;0;1
34288385;User:Peter I. Vardy/sandbox-13;4;0;0;1
38277132;User:28bot/edit-tests-found/2013-January;4;0;0;1
49121;Phoenix, Arizona;2;0;0;2
35959537;User talk:O.Koslowski;4;0;0;4
38337243;Ukrainian Defense Industry (company);1;0;0;1
246442;Music of Mali;6;0;0;1
